Facility ID,Name,City,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,key,latitude,longitude,visit_order,TSP_total_distance_km
24,ALUM CREEK MARATHON,COLUMBUS,995 ALUM CREEK DR,14,1,1,1,0,0,23,15,1,alum creek marathon | 995 alum creek dr | columbus,39.9474991,-82.9452203,0,11.780269265062605
345,KROGER #315,COLUMBUS,2000 E MAIN ST,14,1,1,1,0,0,35,15,1,kroger #315 | 2000 e main st | columbus,39.9581994,-82.9448635,1,11.780269265062605
345,KROGER #315,COLUMBUS,2000 E MAIN ST,14,1,1,1,0,0,35,15,1,kroger #315 | 2000 e main st | columbus,39.9581994,-82.9448635,2,11.780269265062605
345,KROGER #315,COLUMBUS,2000 E MAIN ST,14,1,1,1,0,0,35,15,1,kroger #315 | 2000 e main st | columbus,39.9581994,-82.9448635,3,11.780269265062605
415,M & R WINE SHOP,COLUMBUS,1553 E MAIN ST,14,1,0,0,0,0,29,10,1,m & r wine shop | 1553 e main st | columbus,39.9575227,-82.9576578,4,11.780269265062605
415,M & R WINE SHOP,COLUMBUS,1553 E MAIN ST,14,1,0,0,0,0,29,10,1,m & r wine shop | 1553 e main st | columbus,39.9575227,-82.9576578,5,11.780269265062605
415,M & R WINE SHOP,COLUMBUS,1553 E MAIN ST,14,1,0,0,0,0,29,10,1,m & r wine shop | 1553 e main st | columbus,39.9575227,-82.9576578,6,11.780269265062605
773,WILSON MARKET,COLUMBUS,179 WILSON AVE,14,0,0,0,0,0,0,20,1,wilson market | 179 wilson ave | columbus,39.9622327,-82.9664751,7,11.780269265062605
177,DUCHESS E BROAD ST #1619,COLUMBUS,825 E BROAD ST,14,0,0,0,0,0,0,20,1,duchess e broad st #1619 | 825 e broad st | columbus,39.9645005,-82.9782868,8,11.780269265062605
177,DUCHESS E BROAD ST #1619,COLUMBUS,825 E BROAD ST,14,0,0,0,0,0,0,20,1,duchess e broad st #1619 | 825 e broad st | columbus,39.9645005,-82.9782868,9,11.780269265062605
177,DUCHESS E BROAD ST #1619,COLUMBUS,825 E BROAD ST,14,0,0,0,0,0,0,20,1,duchess e broad st #1619 | 825 e broad st | columbus,39.9645005,-82.9782868,10,11.780269265062605
219,FAMILY DOLLAR #31024,COLUMBUS,1092 E MAIN ST,14,5,0,0,0,0,16,1,1,family dollar #31024 | 1092 e main st | columbus,39.9579384,-82.9703041,11,11.780269265062605
219,FAMILY DOLLAR #31024,COLUMBUS,1092 E MAIN ST,14,5,0,0,0,0,16,1,1,family dollar #31024 | 1092 e main st | columbus,39.9579384,-82.9703041,12,11.780269265062605
219,FAMILY DOLLAR #31024,COLUMBUS,1092 E MAIN ST,14,5,0,0,0,0,16,1,1,family dollar #31024 | 1092 e main st | columbus,39.9579384,-82.9703041,13,11.780269265062605
230,FAMILY DOLLAR STORE #26750,COLUMBUS,1600 LOCKBOURNE RD,14,1,0,0,0,0,22,10,1,family dollar store #26750 | 1600 lockbourne rd | columbus,39.933238,-82.964426,14,11.780269265062605
230,FAMILY DOLLAR STORE #26750,COLUMBUS,1600 LOCKBOURNE RD,14,1,0,0,0,0,22,10,1,family dollar store #26750 | 1600 lockbourne rd | columbus,39.933238,-82.964426,15,11.780269265062605
230,FAMILY DOLLAR STORE #26750,COLUMBUS,1600 LOCKBOURNE RD,14,1,0,0,0,0,22,10,1,family dollar store #26750 | 1600 lockbourne rd | columbus,39.933238,-82.964426,16,11.780269265062605
213,EXPRESS DRIVE THRU,COLUMBUS,1925 LOCKBOURNE RD,14,1,0,0,0,0,26,10,1,express drive thru | 1925 lockbourne rd | columbus,39.925958,-82.96524,17,11.780269265062605
